World Cup,Golden Ball,Golden Boot,Goals,Golden Glove,Clean sheets,FIFA Young Player Award,FIFA Fair Play Trophy
1930 Uruguay,Not Awarded,Guillermo Stábile,8,Not Awarded,N/A,Not Awarded,Not Awarded
1934 Italy,Not Awarded,Oldřich Nejedlý,5,Not Awarded,N/A,Not Awarded,Not Awarded
1938 France,Not Awarded,Leônidas,7,Not Awarded,N/A,Not Awarded,Not Awarded
1950 Brazil,Not Awarded,Ademir,8,Not Awarded,N/A,Not Awarded,Not Awarded
1954 Switzerland,Not Awarded,Sándor Kocsis,11,Not Awarded,N/A,Not Awarded,Not Awarded
1958 Sweden,Not Awarded,Just Fontaine,13,Not Awarded,N/A,Pelé,Not Awarded
1962 Chile,Not Awarded,"Flórián Albert
 Garrincha
 Vavá
 Valentin Ivanov
 Dražan Jerković
 Leonel Sánchez",4,Not Awarded,N/A,Flórián Albert,Not Awarded
1966 England,Not Awarded,Eusébio,9,Not Awarded,N/A,Franz Beckenbauer,Not Awarded
1970 Mexico,Not Awarded,Gerd Müller,10,Not Awarded,N/A,Teófilo Cubillas,Peru
1974 West Germany,Not Awarded,Grzegorz Lato,7,Not Awarded,N/A,Władysław Żmuda,West Germany
1978 Argentina,Not Awarded,Mario Kempes,6,Not Awarded,N/A,Antonio Cabrini,Argentina
1982 Spain,Paolo Rossi,Paolo Rossi,6,Not Awarded,N/A,Manuel Amoros,Brazil
1986 Mexico,Diego Maradona,Gary Lineker,6,Not Awarded,N/A,Enzo Scifo,Brazil
1990 Italy,Salvatore Schillaci,Salvatore Schillaci,6,Not Awarded,N/A,Robert Prosinečki,England
1994 United States,Romário,"Oleg Salenko
 Hristo Stoichkov",6,Michel Preud'homme,2,Marc Overmars,Brazil
1998 France,Ronaldo,Davor Šuker,6,Fabien Barthez,5,Michael Owen,"England
 France"
2002 South Korea/Japan,Oliver Kahn,Ronaldo,8,Oliver Kahn,5,Landon Donovan,Belgium
2006 Germany,Zinedine Zidane,Miroslav Klose,5,Gianluigi Buffon,5,Lukas Podolski,"Brazil
 Spain"
2010 South Africa,Diego Forlán,Thomas Müller,5,Iker Casillas,5,Thomas Müller,Spain
2014 Brazil,Lionel Messi,James Rodríguez,6,Manuel Neuer,4,Paul Pogba,Colombia
2018 Russia,Luka Modrić,Harry Kane,6,Thibaut Courtois,3,Kylian Mbappé,Spain
2022 Qatar,Lionel Messi,Kylian Mbappé,8,Emiliano Martínez,3,Enzo Fernández,England
